,Variable,ROTATE,THERMALMASS,WWR,SHADING_OVERHANG_PROJECTION,WINU,WINSHGC,ROOFR,WALLR,SCALE_X,Recommended,Baseline,EUI_kBtu_per_sqft,TEDI_kBtu_per_sqft,CEDI_kBtu_per_sqft,EDI_kBtu_per_sqft,peak_cooling_W_per_sqft,peak_heating_W_per_sqft
44,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
45,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
46,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
47,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,0.5,0.36,0.32,31.0,14.0,1.0,no,no,43.84399811111111,1.9771570000000003,18.565900000000003,20.543057000000005,3.354070460324152,7.4297011183896835
48,SHADING_OVERHANG_PROJECTION,0.0,0.0,0.6,1.0,0.36,0.32,31.0,14.0,1.0,no,no,43.902163833333326,1.955541,17.830782,19.786323,3.111503462455555,7.143358243354719
49,WINU,0.0,0.0,0.6,0.001,0.18,0.32,31.0,14.0,1.0,no,no,44.53739233333333,1.954047,21.646055999999998,23.600102999999997,3.6767705391212826,7.448733056997963
50,WINU,0.0,0.0,0.6,0.001,0.25,0.32,31.0,14.0,1.0,no,no,44.64572844444444,2.0368660000000003,21.185840000000002,23.222706000000002,3.6853717839436633,7.182460528725418
51,WINU,0.0,0.0,0.6,0.001,0.32,0.32,31.0,14.0,1.0,no,no,44.60476883333333,2.107299,20.826534,22.933833,3.716873844891349,7.500817607560711
52,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
53,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
54,WINU,0.0,0.0,0.6,0.001,0.36,0.32,31.0,14.0,1.0,no,yes,44.55945394444444,2.1450370000000003,20.576506,22.721542999999997,3.7224924774950403,7.654532340903917
